cityid,city,county
1013,Milpitas,Santa Clara
1014,Mineral,Tehama
1015,Mineral King,Tulare
1016,Mint Canyon,Los Angeles
1017,Mira Loma,Riverside
1018,Mira Vista,Contra Costa
1019,Miracle Hot Springs,Kern
1020,Miramar,San Diego
1021,Miramonte,Fresno
1022,Miranda,Humboldt
1023,Mission Hills,Los Angeles
1024,Mission Viejo,Orange
1025,Mi-Wuk Village,Tuolumne
1026,Moccasin,Tuolumne
1027,Modesto,Stanislaus
1028,Moffett Field,Santa Clara
1029,Mojave,Kern
1030,Mokelumne Hill,Calaveras
1031,Monarch Beach,Orange
1032,Moneta,Los Angeles
1033,Mono Hot Springs,Fresno
1034,Mono Lake,Mono
1035,Monolith,Kern
1036,Monrovia,Los Angeles
1037,Monta Vista,Santa Clara
1038,Montague,Siskiyou
1039,Montalvo,Ventura
1040,Montara,San Mateo
1041,Montclair,San Bernardino
1042,Monte Rio,Sonoma
1043,Monte Sereno,Santa Clara
1044,Montebello,Los Angeles
1045,Montecito,Santa Barbara
1046,Monterey Bay Academy,Santa Cruz
1047,Monterey Park,Los Angeles
1048,Monterey,Monterey
1049,Montgomery Creek,Shasta
1050,Montrose,Los Angeles
1051,Mooney,Tulare
1052,Moonridge,San Bernardino
1053,Moorpark,Ventura
1054,Moraga,Contra Costa
1055,Moreno Valley,Riverside
1056,Morgan Hill,Santa Clara
1057,Morongo Valley,San Bernardino
1058,Morro Bay,San Luis Obispo
1059,Morro Plaza,San Luis Obispo
1060,Moss Beach,San Mateo
1061,Moss Landing,Monterey
1062,Mount Hamilton,Santa Clara
1063,Mount Hebron,Siskiyou
1064,Mount Hermon,Santa Cruz
1065,Mount Laguna,San Diego
1066,Mount Shasta,Siskiyou
1067,Mount Wilson,Los Angeles
1068,Mountain Center,Riverside
1069,Mountain Mesa,Kern
1070,Mountain Pass,San Bernardino
1071,Mountain Ranch,Calaveras
1072,Mountain View,Santa Clara
1073,Mt. Aukum,El Dorado
1074,Mt. Baldy,San Bernardino
1075,Murphys,Calaveras
1076,Murrieta,Riverside
1077,Muscoy,San Bernardino
1078,Myers Flat,Humboldt
1079,Napa,Napa
1080,Naples,Los Angeles
1081,Nashville,El Dorado
1082,National City,San Diego
1083,Naval Port Hueneme,Ventura
1084,Naval Air Station San Diego,San Diego
1085,Naval Air Station Alameda,Alameda
1086,Naval Air Station Coronado,San Diego
1087,Naval Air Station Lemoore,Kings
1088,Naval Hospital Oakland,Alameda
1089,Naval Hospital,San Diego
1090,Naval Supply Center Oakland,Alameda
1091,Naval Training Center,San Diego
1092,Navarro,Mendocino
1093,Needles,San Bernardino
1094,Nelson,Butte
1095,Nevada City,Nevada
1096,New Almaden,Santa Clara
1097,New Cuyama,Santa Barbara
1098,New Idria,San Benito
1099,Newark,Alameda
1100,Newberry,San Bernardino
1101,Newberry Springs,San Bernardino
1102,Newbury Park,Ventura
1103,Newcastle,Placer
1104,Newhall,Los Angeles
1105,Newman,Stanislaus
1106,Newport Beach,Orange
1107,Nicasio,Marin
1108,Nice,Lake
1109,Nicolaus,Sutter
1110,Niland,Imperial
1111,Nipomo,San Luis Obispo
1112,Nipton,San Bernardino
1113,Norco,Riverside
1114,Norden,Nevada
1115,North Edwards,Kern
1116,North Fork,Madera
1117,North Gardena,Los Angeles
1118,North Highlands,Sacramento
1119,North Hills,Los Angeles
1120,North Hollywood,Los Angeles
1121,North Palm Springs,Riverside
1122,North San Juan,Nevada
1123,North Shore,Riverside
1124,Northridge,Los Angeles
1125,Norton A.F.B.,San Bernardino
1126,Norwalk,Los Angeles
1127,Novato,Marin
1128,Nubieber,Lassen
1129,Nuevo,Riverside
1130,Nyeland Acres,Ventura
1131,Oak Park,Ventura
1132,Oak Run,Shasta
1133,Oak View,Ventura
1134,Oakdale,Stanislaus
1135,Oakhurst,Madera
1136,Oakland,Alameda
1137,Oakley,Contra Costa
1138,Oakville,Napa
1139,Oasis,Riverside
1140,Oban,Los Angeles
1141,O'Brien,Shasta
1142,Occidental,Sonoma
1143,Oceano,San Luis Obispo
1144,Oceanside,San Diego
1145,Ocotillo,Imperial
1146,Ocotillo Wells,San Diego
1147,Oildale,Kern
1148,Ojai,Ventura
1149,Olancha,Inyo
1150,Old Station,Shasta
1151,Olema,Marin
1152,Olinda,Shasta
1153,Olive View,Los Angeles
1154,Olivehurst,Yuba
1155,Olivenhain,San Diego
1156,Olympic Valley,Placer
1157,Omo Ranch,El Dorado
1158,O'Neals,Madera
1159,Ono,Shasta
1160,Ontario,San Bernardino
1161,Onyx,Kern
1162,Opal Cliffs,Santa Cruz
1163,Orange Cove,Fresno
1164,Orange,Orange
1165,Orangevale,Sacramento
1166,Orcutt,Santa Barbara
1167,Ordbend,Glenn
1168,Oregon House,Yuba
1169,Orick,Humboldt
1170,Orinda,Contra Costa
1171,Orland,Glenn
1172,Orleans,Humboldt
1173,Oro Grande,San Bernardino
1174,Orosi,Tulare
1175,Oroville,Butte
1176,Otay,San Diego
1177,Oxnard,Ventura
1178,Pacheco,Contra Costa
1179,Pacific Grove,Monterey
1180,Pacific House,El Dorado
1181,Pacific Palisades,Los Angeles
1182,Pacifica,San Mateo
1183,Pacoima,Los Angeles
1184,Paicines,San Benito
1185,Pajaro,Monterey
1186,Pala,San Diego
1187,Palermo,Butte
1188,Pallett,Los Angeles
1189,Palm City,Riverside
1190,Palm City,San Diego
1191,Palm Desert,Riverside
1192,Palm Springs,Riverside
1193,Palmdale,Los Angeles
1194,Palo Alto,Santa Clara
1195,Palo Cedro,Shasta
1196,Palo Verde,Imperial
1197,Palomar Mountain,San Diego
1198,Palos Verdes Estates,Los Angeles
1199,Palos Verdes/Peninsula,Los Angeles
1200,Panorama City,Los Angeles
1201,Paradise,Butte
1202,Paramount,Los Angeles
1203,Parker Dam,San Bernardino
1204,Parkfield,Monterey
1205,Parlier,Fresno
1206,Pasadena,Los Angeles
1207,Paskenta,Tehama
1208,Paso Robles,San Luis Obispo
1209,Patterson,Stanislaus
1210,Patton,San Bernardino
1211,Pauma Valley,San Diego
1212,Paynes Creek,Tehama
1213,Pearblossom,Los Angeles
1214,Pearland,Los Angeles
1215,Pebble Beach,Monterey
1216,Pedley,Riverside
1217,Peninsula Village,Plumas
1218,Penn Valley,Nevada
1219,Penngrove,Sonoma
1220,Penryn,Placer
1221,Pepperwood,Humboldt
1222,Permanente,Santa Clara
1223,Perris,Riverside
1224,Perry,Los Angeles
1225,Pescadero,San Mateo
1226,Petaluma,Sonoma
1227,Petrolia,Humboldt
1228,Phelan,San Bernardino
1229,Phillipsville,Humboldt
1230,Philo,Mendocino
1231,Pico Rivera,Los Angeles
1232,Piedmont,Alameda
1233,Piedra,Fresno
1234,Piercy,Mendocino
1235,Pilot Hill,El Dorado
1236,Pine Grove,Amador
1237,Pine Valley,San Diego
1238,Pinecrest,Tuolumne
1239,Pinedale,Fresno
1240,Pinetree,Los Angeles
1241,Pinole,Contra Costa
1242,Pinon Hills,San Bernardino
1243,Pioneer,Amador
1244,Pioneertown,San Bernardino
1245,Piru,Ventura
1246,Pismo Beach,San Luis Obispo
1247,Pittsburg,Contra Costa
1248,Pixley,Tulare
1249,Placentia,Orange
1250,Placerville,El Dorado
1251,Plainview,Tulare
1252,Planada,Merced
1253,Plaster City,Imperial
1254,Platina,Shasta
1255,Playa Del Rey,Los Angeles
1256,Pleasant Grove,Sutter
1257,Pleasant Hill,Contra Costa
1258,Pleasanton,Alameda
1259,Plymouth,Amador
1260,Point Arena,Mendocino
1261,Point Mugu,Ventura
1262,Point Pittsburg,Contra Costa
1263,Point Reyes Station,Marin
1264,Pollock Pines,El Dorado
1265,Pomona,Los Angeles
1266,Pond,Kern
1267,Pondosa,Siskiyou
1268,Pope Valley,Napa
1269,Poplar,Tulare
1270,Port Costa,Contra Costa
1271,Port Hueneme,Ventura
1272,Porter Ranch,Los Angeles
1273,Porterville,Tulare
1274,Portola Valley,San Mateo
1275,Portola,Plumas
1276,Portuguese Bend,Los Angeles
1277,Posey,Tulare
1278,Potrero,San Diego
1279,Potter Valley,Mendocino
1280,Poway,San Diego
1281,Prather,Fresno
1282,Presidio,San Francisco
1283,Presidio of Monterey,Monterey
1284,Priest Valley,Monterey
1285,Princeton,Colusa
1286,Proberta,Tehama
1287,Project City,Shasta
1288,Prunedale,Monterey
1289,Pt. Dume,Los Angeles
1290,Pulga,Butte
1291,Pumpkin Center,Kern
1292,Quail Valley,Riverside
1293,Quartz Hill,Los Angeles
1294,Quincy,Plumas
1295,Rackerby,Yuba
1296,Rail Road Flat,Calaveras
1297,Rainbow,San Diego
1298,Raisin City,Fresno
1299,Ramona,San Diego
1300,Ranchita,San Diego
1301,Rancho Bernardo,San Diego
1302,Rancho California,Riverside
1303,Rancho Cordova ,Sacramento
1304,Rancho Cucamonga,San Bernardino
1305,Rancho Dominguez,Los Angeles
1306,Rancho Mirage,Riverside
1307,Rancho Murieta,Sacramento
1308,Rancho Palos Verdes,Los Angeles
1309,Rancho Park,Los Angeles
1310,Rancho Santa Fe,San Diego
1311,Rancho Santa Margarita,Orange
1312,Randsburg,Kern
1313,Ravendale,Lassen
1314,Ravenna,Los Angeles
1315,Raymond,Madera
1316,Red Bluff,Tehama
1317,Red Mountain,San Bernardino
1318,Red Top,Madera
1319,Redcrest,Humboldt
1320,Redding,Shasta
1321,Redlands,San Bernardino
1322,Redondo Beach,Los Angeles
1323,Redway,Humboldt
1324,Redwood City,San Mateo
1325,Redwood Estates,Santa Clara
1326,Redwood Valley,Mendocino
1327,Reedley,Fresno
1328,Refugio Beach,Santa Barbara
1329,Represa,Sacramento
1330,Requa,Del Norte
1331,Rescue,El Dorado
1332,Reseda,Los Angeles
1333,Rheem Valley,Contra Costa
1334,Rialto,San Bernardino
1335,Richardson Grove,Humboldt
1336,Richardson Springs,Butte
1337,Richfield,Tehama
1338,Richgrove,Tulare
1339,Richmond,Contra Costa
1340,Richvale,Butte
1341,Ridgecrest,Kern
1342,Rimforest,San Bernardino
1343,Rimpau,Los Angeles
1344,Rio Bravo,Kern
1345,Rio Del Mar,Santa Cruz
1346,Rio Dell,Humboldt
1347,Rio Linda,Sacramento
1348,Rio Nido,Sonoma
1349,Rio Oso,Sutter
1350,Rio Vista,Solano
1351,Ripley,Riverside
1352,Ripon,San Joaquin
1353,River Pines,Amador
1354,Riverbank,Stanislaus
1355,Riverdale,Fresno
1356,Riverside,Riverside
1357,Robbins,Sutter
1358,Rocklin,Placer
1359,Rodeo,Contra Costa
1360,Rohnert Park,Sonoma
1361,Rohnerville,Humboldt
1362,Rolling Hills Estates,Los Angeles
1363,Rolling Hills,Los Angeles
1364,Romoland,Riverside
1365,Rosamond,Kern
1366,Rose Bowl,Los Angeles
1367,Roseland,Sonoma
1368,Rosemead,Los Angeles
1369,Roseville,Placer
1370,Ross,Marin
1371,Rossmoor,Orange
1372,Rough and Ready,Nevada
1373,Round Mountain,Shasta
1374,Rowland Heights,Los Angeles
1375,Royal Oaks,Monterey
1376,Rubidoux,Riverside
1377,Ruby Valley,Humboldt
1378,Rumsey,Yolo
1379,Running Springs,San Bernardino
1380,Ruth,Trinity
1381,Rutherford,Napa
1382,Ryde,Sacramento
1383,Sacramento,Sacramento
1384,Saint Helena,Napa
1385,Salida,Stanislaus
1386,Salinas,Monterey
1387,Salton City,Imperial
1388,Salyer,Trinity
1389,Samoa,Humboldt
1390,San Andreas,Calaveras
1391,San Anselmo,Marin
1392,San Ardo,Monterey
1393,San Benito,San Benito
1394,San Bernardino,San Bernardino
1395,San Bruno,San Mateo
1396,San Carlos,San Diego
1397,San Carlos,San Mateo
1398,San Clemente,Orange
1399,San Diego,San Diego
1400,San Dimas,Los Angeles
1401,San Fernando,Los Angeles
1402,San Francisco,San Francisco
1403,San Gabriel,Los Angeles
1404,San Geronimo,Marin
1405,San Gregorio,San Mateo
1406,San Jacinto,Riverside
1407,San Joaquin,Fresno
1408,San Jose,Santa Clara
1409,San Juan Bautista,San Benito
1410,San Juan Capistrano,Orange
1411,San Juan Plaza,Orange
1412,San Leandro,Alameda
1413,San Lorenzo,Alameda
1414,San Lucas,Monterey
1415,San Luis Obispo,San Luis Obispo
1416,San Luis Rey,San Diego
1417,San Marcos,San Diego
1418,San Marino,Los Angeles
1419,San Martin,Santa Clara
1420,San Mateo,San Mateo
1421,San Miguel,San Luis Obispo
1422,San Pablo,Contra Costa
1423,San Pedro,Los Angeles
1424,San Quentin,Marin
1425,San Rafael,Marin
1426,San Ramon,Contra Costa
1427,San Simeon,San Luis Obispo
1428,San Tomas,Santa Clara
1429,San Ysidro,San Diego
1430,Sand City,Monterey
1431,Sanger,Fresno
1432,Santa Ana,Orange
1433,Santa Barbara,Santa Barbara
1434,Santa Clara,Santa Clara
1435,Santa Clarita,Los Angeles
1436,Santa Cruz,Santa Cruz
1437,Santa Fe Springs,Los Angeles
1438,Santa Margarita,San Luis Obispo
1439,Santa Maria,Santa Barbara
1440,Santa Monica,Los Angeles
1441,Santa Nella,Merced
1442,Santa Paula,Ventura
1443,Santa Rita Park,Merced
1444,Santa Rosa,Sonoma
1445,Santa Rosa Valley,Ventura
1446,Santa Ynez,Santa Barbara
1447,Santa Ysabel,San Diego
1448,Santee,San Diego
1449,Saratoga,Santa Clara
1450,Saticoy,Ventura
1451,Sattley,Sierra
1452,Saugus,Los Angeles
1453,Sausalito,Marin
1454,Sawtelle,Los Angeles
1455,Sawyers Bar,Siskiyou
1456,Scotia,Humboldt
1457,Scott Bar,Siskiyou
1458,Scotts Valley,Santa Cruz
1459,Sea Ranch,Sonoma
1460,Seabright,Santa Cruz
1461,Seal Beach,Orange
1462,Seaside,Monterey
1463,Sebastopol,Sonoma
1464,Seeley,Imperial
1465,Seiad Valley,Siskiyou
1466,Selby,Contra Costa
1467,Selma,Fresno
1468,Seminole Hot Springs,Los Angeles
1469,Sepulveda,Los Angeles
1470,Sequoia National Park,Tulare
1471,Shafter,Kern
1472,Shandon,San Luis Obispo
1473,Sharpe Army Depot,San Joaquin
1474,Shasta,Shasta
1475,Shasta Lake,Shasta
1476,Shaver Lake,Fresno
1477,Sheepranch,Calaveras
1478,Shell Beach,San Luis Obispo
1479,Sheridan,Placer
1480,Sherman Island,Sacramento
1481,Sherman Oaks,Los Angeles
1482,Sherwin Plaza,Mono
1483,Shingle Springs,El Dorado
1484,Shingletown,Shasta
1485,Shively,Humboldt
1486,Shore Acres,Contra Costa
1487,Shoshone,Inyo
1488,Sierra City,Sierra
1489,Sierra Madre,Los Angeles
1490,Sierraville,Sierra
1491,Signal Hill,Los Angeles
1492,Silver Lake,Amador
1493,Silverado Canyon,Orange
1494,Simi Valley,Ventura
1495,Sisquoc,Santa Barbara
1496,Sites,Colusa
1497,Sky Valley,Riverside
1498,Skyforest,San Bernardino
1499,Sleepy Valley,Los Angeles
1500,Sloat,Plumas
1501,Sloughhouse,Sacramento
1502,Smartsville,Yuba
1503,Smith River,Del Norte
1504,Smithflat,El Dorado
1505,Smoke Tree,San Bernardino
1506,Snelling,Merced
1507,Soda Springs,Nevada
1508,Solana Beach,San Diego
1509,Soledad,Monterey
1510,Solemint,Los Angeles
1511,Solvang,Santa Barbara
1512,Somerset,El Dorado
1513,Somes Bar,Siskiyou
1514,Somis,Ventura
1515,Sonoma,Sonoma
1516,Sonora,Tuolumne
1517,Soquel,Santa Cruz
1518,Soulsbyville,Tuolumne
1519,South Dos Palos,Merced
1520,South El Monte,Los Angeles
1521,South Fork,Humboldt
1522,South Gate,Los Angeles
1523,South Laguna,Orange
1524,South Lake Tahoe,El Dorado
1525,South Pasadena,Los Angeles
1526,South San Francisco,San Mateo
1527,South Shore,Alameda
1528,South Whittier,Los Angeles
1529,Spanish Flat,Napa
1530,Spreckels,Monterey
1531,Spring Garden,Plumas
1532,Spring Valley,San Diego
1533,Springville,Tulare
1534,Spyrock,Mendocino
1535,Squaw Valley,Fresno
1536,St. Helena,Napa
1537,Standard,Tuolumne
1538,Standish,Lassen
1539,Stanford,Santa Clara
1540,Stanislaus,Tuolumne
1541,Stanton,Orange
1542,Steele Park,Napa
1543,Stevenson Ranch,Los Angeles
1544,Stevinson,Merced
1545,Stewarts Point,Sonoma
1546,Stinson Beach,Marin
1547,Stirling City,Butte
1548,Stockton,San Joaquin
1549,Stonyford,Colusa
1550,Storrie,Plumas
1551,Stratford,Kings
1552,Strathmore,Tulare
1553,Strawberry,Tuolumne
1554,Strawberry Valley,Yuba
1555,Studio City,Los Angeles
1556,Sugarloaf,San Bernardino
1557,Suisun City,Solano
1558,Sulphur Springs,Los Angeles
1559,Sultana,Tulare
1560,Summerland,Santa Barbara
1561,Summit,San Bernardino
1562,Summit City,Shasta
1563,Sun City,Riverside
1564,Sun Valley,Los Angeles
1565,Sunland,Los Angeles
1566,Sunnymead,Riverside
1567,Sunnyside,San Diego
1568,Sunnyvale,Santa Clara
1569,Sunol,Alameda
1570,Sunset Beach,Orange
1571,Sunset Whitney Ranch,Placer
1572,Surfside,Orange
1573,Susanville,Lassen
1574,Sutter,Sutter
1575,Sutter Creek,Amador
1576,Swall Meadows,Inyo
1577,Sylmar,Los Angeles
1578,Taft,Kern
1579,Tagus Ranch,Tulare
1580,Tahoe City,Placer
1581,Tahoe Paradise,El Dorado
1582,Tahoe Valley,El Dorado
1583,Tahoe Vista,Placer
1584,Tahoma,Placer
1585,Talmage,Mendocino
1586,Tamal,Marin
1587,Tarzana,Los Angeles
1588,Taylorsville,Plumas
1589,Tecate,San Diego
1590,Tecopa,Inyo
1591,Tehachapi,Kern
1592,Tehama,Tehama
1593,Temecula,Riverside
1594,Temple City,Los Angeles
1595,Templeton,San Luis Obispo
1596,Terminal Island,Los Angeles
1597,Termo,Lassen
1598,Terra Bella,Tulare
1599,Thermal,Riverside
1600,Thornton,San Joaquin
1601,Thousand Oaks,Ventura
1602,Thousand Palms,Riverside
1603,Three Rivers,Tulare
1604,Tiburon,Marin
1605,Tierra Del Sol,San Diego
1606,Tierrasanta,San Diego
1607,Tipton,Tulare
1608,Tollhouse,Fresno
1609,Toluca Lake,Los Angeles
1610,Tomales,Marin
1611,Toms Place,Mono
1612,Topanga,Los Angeles
1613,Topanga Park,Los Angeles
1614,Topaz,Mono
1615,Torrance,Los Angeles
1616,Town Center,Tulare
1617,Trabuco Canyon,Orange
1618,Tracy,San Joaquin
1619,Tranquillity,Fresno
1620,Traver,Tulare
1621,Travis A.F.B.,Solano
1622,Tres Pinos,San Benito
1623,Trinidad,Humboldt
1624,Trinity Center,Trinity
1625,Trona,San Bernardino
1626,Trowbridge,Sutter
1627,Truckee,Nevada
1628,Tujunga,Los Angeles
1629,Tulare,Tulare
1630,Tulelake,Siskiyou
1631,Tuolumne,Tuolumne
1632,Tuolumne Meadows,Mariposa
1633,Tupman,Kern
1634,Turlock,Stanislaus
1635,Tustin,Orange
1636,Twain,Plumas
1637,Twain Harte,Tuolumne
1638,Twentynine Palms,San Bernardino
1639,Twin Bridges,El Dorado
1640,Twin Peaks,San Bernardino
1641,Two Rock Coast Guard Station,Sonoma
1642,U.S. Naval Postgrad School,Monterey
1643,Ukiah,Mendocino
1644,Union City,Alameda
1645,Universal City,Los Angeles
1646,University,Santa Barbara
1647,University Park,Orange
1648,Upland,San Bernardino
1649,Upper Lake/ Upper Lake Valley,Lake
1650,Vacaville,Solano
1651,Val Verde Park,Los Angeles
1652,Valencia,Los Angeles
1653,Valinda,Los Angeles
1654,Vallecito,Calaveras
1655,Vallejo,Solano
1656,Valley Center,San Diego
1657,Valley Fair,Santa Clara
1658,Valley Ford,Sonoma
1659,Valley Home,Stanislaus
1660,Valley Springs,Calaveras
1661,Valley Village,Los Angeles
1662,Valyermo,Los Angeles
1663,Van Nuys,Los Angeles
1664,Vandenberg A.F.B,Santa Barbara
1665,Vasquez Rocks,Los Angeles
1666,Venice,Los Angeles
1667,Ventucopa,Santa Barbara
1668,Ventura,Ventura
1669,Verdugo City,Los Angeles
1670,Vernalis,San Joaquin
1671,Vernon,Los Angeles
1672,Veteran's Hospital,Los Angeles
1673,Victor,San Joaquin
1674,Victorville,San Bernardino
1675,Vidal,San Bernardino
1676,View Park,Los Angeles
1677,Villa Grande,Sonoma
1678,Villa Park,Orange
1679,Vina,Tehama
1680,Vincent,Los Angeles
1681,Vineburg,Sonoma
1682,Vinton,Plumas
1683,Virgilia,Plumas
1684,Visalia,Tulare
1685,Vista Park,Kern
1686,Vista,San Diego
1687,Volcano,Amador
1688,Volta,Merced
1689,Wallace,Calaveras
1690,Walnut Creek,Contra Costa
1691,Walnut Grove,Sacramento
1692,Walnut Park,Los Angeles
1693,Walnut,Los Angeles
1694,Warm Springs,Alameda
1695,Warner Springs,San Diego
1696,Wasco,Kern
1697,Waterford,Stanislaus
1698,Watsonville,Santa Cruz
1699,Watts,Los Angeles
1700,Waukena,Tulare
1701,Wawona,Mariposa
1702,Weaverville,Trinity
1703,Weed,Siskiyou
1704,Weimar,Placer
1705,Weldon,Kern
1706,Wendel,Lassen
1707,Weott,Humboldt
1708,West Covina,Los Angeles
1709,West Hills,Los Angeles
1710,West Hollywood,Los Angeles
1711,West Los Angeles,Los Angeles
1712,West Pittsburg,Contra Costa
1713,West Point,Calaveras
1714,West Sacramento,Yolo
1715,Westchester,Los Angeles
1716,Westend,San Bernardino
1717,Westhaven,Humboldt
1718,Westlake,Los Angeles
1719,Westlake Village ,Ventura
1720,Westley,Stanislaus
1721,Westminster,Orange
1722,Westmorland,Imperial
1723,Westport,Mendocino
1724,Westside,Stanislaus
1725,Westwood,Lassen
1726,Westwood,Los Angeles
1727,Wheatland,Yuba
1728,Wheeler Ridge,Kern
1729,Whiskeytown,Shasta
1730,Whispering Pines,Lake
1731,White Pines,Calaveras
1732,Whitethorn,Humboldt
1733,Whitewater,Riverside
1734,Whitlow,Humboldt
1735,Whitmore,Shasta
1736,Whittier,Los Angeles
1737,Wildomar,Riverside
1738,Wildwood,Shasta
1739,Williams,Colusa
1740,Willits,Mendocino
1741,Willow Creek,Humboldt
1742,Willow Ranch,Modoc
1743,Willowbrook,Los Angeles
1744,Willows,Glenn
1745,Wilmington,Los Angeles
1746,Wilseyville,Calaveras
1747,Wilsona Gardens,Los Angeles
1748,Wilton,Sacramento
1749,Winchester,Riverside
1750,Windsor Hills,Los Angeles
1751,Windsor,Sonoma
1752,Winnetka,Los Angeles
1753,Winterhaven,Imperial
1754,Winters,Yolo
1755,Winton,Merced
1756,Wishon,Madera
1757,Witter Springs,Lake
1758,Wofford Heights,Kern
1759,Woodacre,Marin
1760,Woodbridge,San Joaquin
1761,Woodfords,Alpine
1762,Woodlake,Tulare
1763,Woodland,Yolo
1764,Woodland Hills,Los Angeles
1765,Woodleaf,Yuba
1766,Woodside,San Mateo
1767,Woodville,Tulare
1768,Woody,Kern
1769,Wrightwood,San Bernardino
1770,Yankee Hill,Butte
1771,Yermo,San Bernardino
1772,Yettem,Tulare
1773,Yolo,Yolo
1774,Yorba Linda,Orange
1775,Yorkville,Mendocino
1776,Yosemite Lodge,Mariposa
1777,Yosemite National Park,Mariposa
1778,Yountville,Napa
1779,Yreka,Siskiyou
1780,Yuba City,Sutter
1781,Yucaipa,San Bernardino
1782,Yucca Valley,San Bernardino
1783,Zamora,Yolo
1784,Zenia,Trinity
